CODGEO;NB_E101;NB_E102;NB_E107;NB_E108;NB_E109;NB_G101;NB_G102;NB_G103;NB_G104
02172;0;0;0;0;0;0;0;0;0
02173;2;0;0;1;0;1;2;0;1
02174;0;0;0;0;0;0;0;0;0
02175;0;0;0;0;0;0;0;0;0
02176;0;0;0;0;0;0;0;0;0
02177;0;0;0;0;0;0;0;0;0
02178;0;0;0;0;0;0;0;0;0
02179;0;0;0;0;0;0;0;0;0
02180;0;0;0;0;0;0;0;0;0
02181;0;0;0;0;0;0;0;0;0
02182;0;0;0;0;0;0;0;0;0
02183;0;0;0;0;0;0;0;0;0
02184;0;0;0;0;0;0;0;0;0
02185;0;0;0;0;0;0;0;0;0
02186;1;0;0;0;1;0;0;0;0
02187;2;0;0;0;0;0;0;0;0
02188;0;0;0;0;0;0;0;0;0
02189;0;0;0;0;0;0;0;0;0
02190;0;0;0;0;0;0;0;0;1
02191;0;0;0;0;0;0;0;0;0
02192;0;0;0;0;0;0;0;0;0
02193;0;0;0;0;0;0;0;0;0
02194;0;0;0;0;0;0;0;0;0
02195;0;0;0;0;0;0;0;0;0
02196;2;0;0;0;1;0;0;0;0
02197;0;0;0;0;0;0;0;0;0
02198;0;0;0;0;0;0;0;0;0
02199;0;0;0;0;0;0;0;0;0
02200;0;0;0;0;0;0;0;0;0
02201;0;0;0;0;0;0;0;0;0
02203;1;0;0;0;0;0;0;0;0
02204;0;0;0;0;0;0;0;0;0
02205;0;0;0;0;0;0;0;0;0
02206;0;0;0;0;0;0;0;0;0
02207;0;0;0;0;0;0;0;0;0
02208;0;0;0;0;0;0;0;0;0
02209;1;0;0;0;0;0;1;0;0
02210;0;0;0;0;0;0;0;0;0
02211;0;0;0;0;0;0;0;0;0
02212;1;0;0;0;0;0;0;0;0
02213;0;0;0;0;0;0;0;0;0
02214;0;0;0;0;0;0;0;0;0
02215;0;0;0;0;0;0;1;0;0
02216;0;0;0;0;1;0;0;0;0
02217;0;0;0;0;0;0;1;0;1
02218;0;0;0;0;1;0;0;0;0
02219;0;0;0;0;0;0;0;0;0
02220;0;0;0;0;0;0;0;0;0
02221;0;0;0;0;0;0;0;0;0
02222;0;0;0;0;0;0;0;0;0
02223;0;0;0;0;0;0;0;0;0
02224;0;0;0;0;0;0;1;0;0
02225;0;0;0;0;0;0;0;0;0
02226;0;0;0;0;0;0;0;0;0
02227;0;0;0;0;0;0;0;0;0
02228;0;0;0;0;0;0;0;0;0
02229;0;0;0;0;0;0;0;0;0
02230;0;0;0;0;0;0;0;0;0
02231;0;0;0;0;0;0;0;0;0
02232;0;0;0;0;1;0;0;0;0
02233;0;0;0;0;0;0;0;0;0
02234;1;0;0;0;0;0;0;0;0
02235;0;0;0;0;0;0;0;0;0
02236;0;0;0;0;0;0;0;0;0
02237;2;0;0;0;0;0;1;0;0
02238;0;0;0;0;1;0;0;0;0
02239;0;0;0;0;0;0;0;0;1
02240;0;0;0;0;0;0;0;0;0
02241;0;0;0;0;0;0;0;0;0
02242;0;0;0;0;0;0;0;0;0
02243;2;0;0;0;1;0;1;0;0
02244;0;0;0;0;0;0;0;0;0
02245;3;0;0;0;0;0;0;0;0
02246;0;0;0;0;0;0;0;0;0
02248;0;0;0;0;0;0;0;0;0
02249;0;0;0;0;0;0;0;0;0
02250;0;0;0;0;0;0;0;0;0
02251;0;0;0;0;0;0;0;0;0
02252;0;0;0;0;0;0;0;0;0
02253;0;0;0;0;0;0;0;0;0
02254;0;0;0;0;0;0;0;0;0
02255;0;0;0;0;0;0;0;0;0
02256;0;0;0;0;0;0;0;0;0
02257;0;0;0;0;0;0;0;0;0
02258;0;0;0;0;0;0;0;0;0
02259;0;0;0;0;0;0;0;0;0
02260;0;0;0;0;0;0;0;0;0
02261;0;0;0;0;1;0;0;0;0
02262;0;0;0;0;0;0;0;0;0
02263;0;0;0;0;0;0;0;0;0
